,Request Number,Date Opened,Request ,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y,Times Missed,Damages
0,25274,11/01/17,Trash - Curbside/Alley Missed Pickup,curb/trash miss tuesday.,4028 clarksville pike,37218,red river,4202,1.0,1721259.36568104,685444.799565154,3.0,400.0
1,25276,11/01/17,Trash - Curbside/Alley Missed Pickup,curb/trash miss tuesday.,6528 thunderbird dr,37209,red river,4205,20.0,1707026.75348931,659887.471571312,1.0,0.0
2,25307,11/01/17,Trash - Curbside/Alley Missed Pickup,missed,2603 old matthews rd,37207,waste ind,2206,2.0,1735691.77097349,685027.245922773,1.0,0.0
3,25312,11/01/17,Trash - Curbside/Alley Missed Pickup,missed the even side of the road.,604 croley dr,37209,red river,4203,20.0,1710185.77229504,664205.101065545,1.0,0.0
4,25327,11/01/17,Trash Collection Complaint,"trash out on time, miss again tuesday. alley",1816 jo johnston ave,37203,metro,9208,21.0,1731459.36691767,666013.601228506,18.0,3400.0
5,25330,11/01/17,Trash - Curbside/Alley Missed Pickup,missed.,4484 lavergne couchville pike,37013,red river,4210,33.0,1794533.51380932,618749.342732322,1.0,0.0
6,25331,11/01/17,Trash - Curbside/Alley Missed Pickup,"trash missed tuesday again, alley",1206 ireland st,37208,metro,9208,19.0,1733029.47415848,668762.640891357,1.0,0.0
7,25341,11/01/17,Trash - Curbside/Alley Missed Pickup,"missed trash pickup - resident has at curb for pick up today 
received back door form on 10/30/2017 is still in interoffice mail pickup since 10/30",3113 hydes ferry rd,37218,red river,4204,2.0,1721577.76771205,676018.399899977,1.0,0.0
8,25350,11/01/17,Trash Collection Complaint,missed- 4th week in a row.,3210 whites creek pike,37207,red river,3201,3.0,1726432.96620837,691919.200296047,9.0,1600.0
9,25359,11/01/17,Trash - Curbside/Alley Missed Pickup,missed. does not have access to alley.,830 meridian st,37207,metro,9207,5.0,1741744.71198552,675328.666056683,3.0,400.0
10,25370,11/01/17,Trash - Curbside/Alley Missed Pickup,missed.,6543 thunderbird dr,37209,red river,4205,20.0,1706941.58394937,659614.183556474,1.0,0.0
11,25371,11/01/17,Trash - Curbside/Alley Missed Pickup,pickup missed,2218 buena vista pike,37218,red river,4204,2.0,1724505.76628625,679777.599715987,7.0,1200.0
12,25407,11/01/17,Trash Collection Complaint,curb/trash miss everyone already gotten pick up. unit-b,4209 lone oak rd,37215,red river,3305,25.0,1729355.43814804,644389.920698521,2.0,200.0
13,25449,11/01/17,Trash - Curbside/Alley Missed Pickup,curb/trash miss for this address and others. tuesday,356 kingview dr,37218,red river,3204,1.0,1722025.95847515,685779.071232628,1.0,0.0
14,25454,11/01/17,Trash - Curbside/Alley Missed Pickup,missed.,449 westboro dr,37209,red river,4201,20.0,1710615.08966878,661992.330671121,3.0,400.0
15,25469,11/01/17,Trash - Curbside/Alley Missed Pickup,"our trash was not picked up today, wed, nov 1. it was out by 7 am and our neighbors trash was picked up but ours was not.",117 lafayette ct,37205,red river,1302,23.0,1713464.96687429,644882.402007776,2.0,200.0
16,25471,11/01/17,Trash - Curbside/Alley Missed Pickup,"alley trash miss tuesday, also others as well, out on time.",1904 meharry blvd,37208,metro,9208,21.0,1730048.07086928,668927.190485301,1.0,0.0
17,25474,11/01/17,Trash - Curbside/Alley Missed Pickup,customer says backdoor pickup was missed the past 2 weeks,1144 sewanee rd,37220,red river,3302,34.0,1731663.36704106,639182.402269341,6.0,1000.0
18,25496,11/01/17,Trash - Curbside/Alley Missed Pickup,missed pickup,1815 woodmont blvd,37215,red river,3305,25.0,1730532.21569564,648861.631860082,10.0,1800.0
19,25506,11/01/17,Trash - Curbside/Alley Missed Pickup,missed.,405 page rd,37205,red river,1302,34.0,1711546.56648572,639925.602166337,1.0,0.0
20,25507,11/01/17,Trash - Curbside/Alley Missed Pickup,missed pickup,4722 danby dr,37211,red river,4302,26.0,1748482.56464258,636882.402277738,1.0,0.0
21,25508,11/01/17,Trash Collection Complaint,missed. neighbor missed as well-say she is at a dead end and she is constantly missed. she understands it is hard for the driver to turn around  but she doesn't want to have to call all the time.,2812 27th ave s,37212,red river,2305,18.0,1729022.33394229,652985.679115469,5.0,800.0
22,25509,11/01/17,Trash - Curbside/Alley Missed Pickup,cust says entire street was missed,4506 dakota ave,37209,red river,1308,24.0,1720100.1654592,661552.800933596,2.0,200.0
23,25511,11/01/17,Trash - Curbside/Alley Missed Pickup,missed.,259 sunrise ave,37211,red river,4304,16.0,1750609.59344832,645187.6809331,2.0,200.0
24,25512,11/01/17,Trash - Curbside/Alley Missed Pickup,cust says entire street was missed,4311 dakota ave,37209,red river,1308,24.0,1720100.1654592,661552.800933596,2.0,200.0
25,25515,11/01/17,Trash - Curbside/Alley Missed Pickup,missed. cart is still out,4029 graybar ct,37215,red river,3305,25.0,1729986.30393874,648821.425466489,7.0,1200.0
26,25517,11/01/17,Trash - Curbside/Alley Missed Pickup,missed.,524 harding pl,37211,red river,4302,26.0,1751208.96335089,635651.200956123,4.0,600.0
27,25519,11/01/17,Trash Collection Complaint,"5th time in as many weeks, metro has not picked up the trash from 3702 hobbs rd on our scheduled pick-up day.  this is not my first complaint.  also my neighbor at 3704 hobbs has submitted complaints for the same problem.",3702 hobbs rd,37215,red river,3304,34.0,1721317.06630747,645218.701907873,3.0,400.0
28,25522,11/01/17,Trash - Curbside/Alley Missed Pickup,second week in a row for no trash pickup.,405 brook hollow rd,37205,red river,1301,23.0,1706842.56688538,646820.00228843,1.0,0.0
29,25525,11/01/17,Trash Collection Complaint,"missed my trash again.
check your records.  i get missed all of the time",162 antioch pike,37211,red river,4304,16.0,1753144.96479326,644275.202194266,14.0,2600.0
30,25529,11/01/17,Trash - Curbside/Alley Missed Pickup,the trash can was missed this week. they picked up the recycling bins next to it but not the trash.,131 page rd,37205,red river,1302,34.0,1712019.56890641,642604.860911219,1.0,0.0
31,25535,11/02/17,Trash Collection Complaint,missed- several weeks in a row.,3704 hobbs rd,37215,red river,3304,34.0,1721320.51528351,645165.75231022,4.0,600.0
32,25536,11/02/17,Trash - Curbside/Alley Missed Pickup,trash missed wednesday. curb,6011 jocelyn hollow rd,37205,red river,1304,23.0,1711333.96669066,649685.901491906,2.0,200.0
33,25539,11/02/17,Trash - Curbside/Alley Missed Pickup,"alley trash miss for wednesday. wants cart emptied. also others 
615-293-1573",2524 batavia st,37208,metro,9303,21.0,1727574.08061429,666486.401814931,4.0,600.0
34,25540,11/02/17,Trash - Curbside/Alley Missed Pickup,"curb trash miss wednesday, also neighbors as well.",934 battery ln,37220,red river,3302,25.0,1735552.16563991,639784.002228514,2.0,200.0
35,25542,11/02/17,Trash - Curbside/Alley Missed Pickup,curb/court missed wednesday. trash,305 williams ct,37209,red river,1301,22.0,1697285.71558644,651096.811669883,2.0,200.0
36,25575,11/02/17,Trash - Curbside/Alley Missed Pickup,missed pick up,346 lynn dr,37211,red river,4302,26.0,1747944.09103849,637187.797922015,1.0,0.0
37,25577,11/02/17,Trash - Curbside/Alley Missed Pickup,trash missed pick up - others missed in area,4205 arundel ct,37215,red river,2303S,25.0,1721425.02143048,648442.065802961,1.0,0.0
38,25578,11/02/17,Trash Collection Complaint,"curb/trash missed whole street, check for other streets as well seen carts still out.  wednesday. has to keep calling. 
wants to know why?",204 channelkirk ln,37215,red river,3305,25.0,1729598.74628545,648513.730504195,2.0,200.0
39,25585,11/02/17,Trash - Curbside/Alley Missed Pickup,curb/trash miss wednesday,200 channelkirk ln,37215,red river,3305,25.0,1729513.29558005,648495.571437726,1.0,0.0
40,25586,11/02/17,Trash - Curbside/Alley Missed Pickup,missed pickup,4311 dakota ave,37209,red river,1308,24.0,1720742.73956707,661438.818510417,2.0,200.0
41,25587,11/02/17,Trash - Curbside/Alley Missed Pickup,missed trash check for others also missed curb,101 westover park ct,37215,red river,3305S,25.0,1729295.48572431,644211.602900962,7.0,1200.0
42,25588,11/02/17,Trash Collection Complaint,missed says it has happened numerous times and she is upset. wants supervisor to call her.,201 channelkirk ln,37215,red river,3305,25.0,1729536.7874004,648641.902604743,1.0,0.0
43,25592,11/02/17,Trash - Curbside/Alley Missed Pickup,missed pickup; cust says trash is missed once a month,205 channelkirk ln,37215,red river,3305,25.0,1729610.49615312,648595.971663382,5.0,800.0
44,25593,11/02/17,Trash - Curbside/Alley Missed Pickup,"new resident, trash missed 2 weeks in a row",4309 lone oak rd,37215,red river,3305,25.0,1729234.836778,643478.251269948,1.0,0.0
45,25594,11/02/17,Trash - Curbside/Alley Missed Pickup,missed entire alley,4507 nevada ave,37209,red river,1308,24.0,1720021.76704878,661789.600937402,1.0,0.0
46,25606,11/02/17,Trash - Curbside/Alley Missed Pickup,missed pickup,3012 sunnyview ct,37218,red river,3204,1.0,1724135.66523165,690902.399428811,1.0,0.0
47,25653,11/02/17,Trash - Curbside/Alley Missed Pickup,missed the entire street,118 westover park ct,37215,red river,3305S,25.0,1728948.01375959,644353.068300641,2.0,200.0
48,25674,11/02/17,Trash - Curbside/Alley Missed Pickup,missed pick-up,607 40th ave n,37209,red river,1309,21.0,1722065.76517495,664354.402357756,1.0,0.0
49,25692,11/02/17,Trash - Backdoor,backdoor/miss for last friday. does not understand why?,3041 fieldstone dr,37013,red river,3504,29.0,1785677.15882833,633139.246264943,1.0,0.0
50,25694,11/02/17,Trash - Curbside/Alley Missed Pickup,missed.,1413 montgomery ave,37207,metro,9203,5.0,1745688.16389071,679130.399286571,1.0,0.0
51,25702,11/02/17,Trash - Curbside/Alley Missed Pickup,missed pick up,962 battery ln,37220,red river,3302,25.0,1734959.36522244,639839.201674096,1.0,0.0
52,25717,11/02/17,Trash - Curbside/Alley Missed Pickup,"trash/miss alley # 2088 wednesday pick up unit-b
between page rd & heady dr",103 page rd,37205,red river,1302,34.0,1711419.2116093,644106.786073314,1.0,0.0
53,25733,11/02/17,Trash - Curbside/Alley Missed Pickup,missed pickup,905 woodmont blvd,37204,red river,4305,25.0,1737879.02134805,647550.356123214,3.0,400.0
54,25736,11/02/17,Trash - Curbside/Alley Missed Pickup,missed.,114 lasalle ct b,37205,red river,1302,23.0,1713697.05149669,644931.815564243,1.0,0.0
55,25753,11/02/17,Trash - Curbside/Alley Missed Pickup,"curb trash miss for wednesday. everyone else was emptied. small business"" non- profit",2323 merry st,37208,metro,9303,21.0,1728796.40522801,665734.063997425,1.0,0.0
56,25775,11/02/17,Trash - Backdoor,"missed trash pickup said has been picking up behind the gate for 26 years 
(615) 333-0065",4625 long br,37013,red river,4505,28.0,1770350.41605229,634143.871818357,3.0,400.0
57,25780,11/02/17,Trash Collection Complaint,"missed again
picked up everyone except her
does not understand why keep missing (615) 753-1696",816 elissa dr,37217,red river,1401,13.0,1760730.56502717,657712.802505494,2.0,200.0
58,25784,11/02/17,Trash Collection Complaint,customer says it was missed again,608 cleveland st,37207,metro,9203,5.0,1743925.764861,675188.002055532,5.0,800.0
59,25787,11/02/17,Trash - Curbside/Alley Missed Pickup,our trash (and neighbors trash) has not been picked up last thursday or today.,2015 beech ave b,37204,metro,9401,17.0,1737886.97397215,655886.034443263,1.0,0.0
60,25789,11/02/17,Trash - Curbside/Alley Missed Pickup,missed pickup,116 bart dr,37013,red river,3404,30.0,1763440.96351524,628447.202311899,5.0,800.0
61,25791,11/02/17,Trash - Curbside/Alley Missed Pickup,trash was not picked up today,5115 greentree dr,37211,red river,3401,27.0,1750027.36356976,630031.202408004,4.0,600.0
62,25793,11/02/17,Trash - Curbside/Alley Missed Pickup,missed.,4104 coleridge dr,37013,red river,3404,30.0,1763188.16327077,628038.402686102,1.0,0.0
63,25800,11/02/17,Trash - Curbside/Alley Missed Pickup,missed trash - others missed in area,362 ardsley pl,37215,red river,3301S,34.0,1723730.59758085,641638.381860745,1.0,0.0
64,25802,11/02/17,Trash - Backdoor,missed.,4828 cimarron way,37013,red river,3404,30.0,1766186.56409375,629785.602877192,1.0,0.0
65,25808,11/02/17,Trash - Curbside/Alley Missed Pickup,cust says missed pickup again,496 whispering hills dr,37211,red river,3401,27.0,1755478.43155001,629550.787560172,2.0,200.0
66,25809,11/02/17,Trash - Curbside/Alley Missed Pickup,robin springs road missed!,robin springs rd,37220,red river,3302S,34.0,1732449.82459117,639784.397977931,1.0,0.0
67,25816,11/02/17,Trash - Curbside/Alley Missed Pickup,"trash out on tuesday night for wednesday pickup, other trash cans were emptied, mine was skipped. full needs emptied.",1711 glen echo rd a,37215,red river,3305,25.0,1730968.17180386,646848.128378999,1.0,0.0
68,25821,11/02/17,Trash Collection Complaint,"trash container out night before pickup in same location as previous 25 years. trash was not picked up as scheduled thursday.  would like trash pick up week as per property taxes. i also see my neighbors trash cans still out. i presume they have not had pickup either. by the way the double negatives in the questions below are confusing. i had bagged garbage, no recycling and no yard waste.",611 farrell pkwy,37220,red river,2403,26.0,1742604.16398742,634061.600957324,1.0,0.0
69,25825,11/03/17,Trash - Curbside/Alley Missed Pickup,curb trash missed thursday. duplex,531 cathy jo cir,37211,red river,1404,26.0,1756294.82770702,641849.907206801,2.0,200.0
70,25855,11/03/17,Trash - Curbside/Alley Missed Pickup,"can i get my trash collection started? online, it says that there are no services started even through i have the trash and recycle receptacles. my trash has not been picked up for a few weeks. thanks.",427 west bend dr,37209,red river,4201,20.0,1711210.24678764,661853.105226203,1.0,0.0
71,25858,11/03/17,Trash - Backdoor,missed- she said her grandson was over yesterday and he told her it was full. she needs it picked up,2005 lebanon pike,37210,red river,1504,15.0,1760561.7630735,665276.001224629,8.0,1400.0
72,25862,11/03/17,Trash Collection Complaint,"trash missed last thursday. does not understand why? curb
please call 513-403-0759
other missed hub tickets ticket # 23455,20137,16881,13660,9921",5900 cloverland dr,37027,red river,4401,4.0,1745204.96497002,619088.802667552,3.0,400.0
73,25864,11/03/17,Trash Collection Complaint,missed pick up - please call (615) 519-3192 wants to know why she is being missed,115 rosa l parks blvd,37203,,,19.0,1737457.7654246,665597.600905288,2.0,200.0
